,Execution Number,Age when Executed,index
0,574,78,0
1,560,70,1
2,526,67,2
3,287,66,3
4,552,66,4
5,579,65,5
6,547,64,6
7,568,64,7
8,563,64,8
9,306,64,9
10,556,64,10
11,176,62,11
12,548,62,12
13,208,62,13
14,178,61,14
15,559,61,15
16,577,61,16
17,591,61,17
18,312,61,18
19,542,61,19
20,173,61,20
21,239,60,21
22,510,59,22
23,39,59,23
24,449,59,24
25,71,59,25
26,460,59,26
27,275,59,27
28,64,58,28
29,535,58,29
30,538,58,30
31,317,58,31
32,520,57,32
33,573,57,33
34,415,57,34
35,247,57,35
36,304,56,36
37,394,56,37
38,285,56,38
39,184,56,39
40,546,55,40
41,503,55,41
42,352,55,42
43,289,55,43
44,578,55,44
45,244,55,45
46,115,55,46
47,40,54,47
48,581,54,48
49,458,54,49
50,34,54,50
51,199,54,51
52,266,54,52
53,484,54,53
54,310,54,54
55,521,53,55
56,228,53,56
57,330,53,57
58,114,53,58
59,309,53,59
60,585,53,60
61,586,53,61
62,426,53,62
63,85,53,63
64,92,52,64
65,332,52,65
66,167,52,66
67,480,52,67
68,91,52,68
69,242,52,69
70,500,52,70
71,288,52,71
72,583,52,72
73,440,52,73
74,161,52,74
75,448,51,75
76,191,51,76
77,390,51,77
78,187,51,78
79,431,51,79
80,554,51,80
81,438,51,81
82,72,51,82
83,582,51,83
84,464,51,84
85,238,50,85
86,494,50,86
87,112,50,87
88,224,50,88
89,243,50,89
90,322,50,90
91,14,50,91
92,354,50,92
93,587,50,93
94,100,50,94
95,252,50,95
96,507,49,96
97,425,49,97
98,42,49,98
99,163,49,99
100,340,49,100
101,513,49,101
102,5,49,102
103,584,48,103
104,493,48,104
105,284,48,105
106,260,48,106
107,377,48,107
108,405,48,108
109,562,48,109
110,200,48,110
111,219,48,111
112,486,48,112
113,303,48,113
114,539,48,114
115,386,48,115
116,84,48,116
117,147,47,117
118,286,47,118
119,216,47,119
120,265,47,120
121,333,47,121
122,81,47,122
123,569,47,123
124,204,47,124
125,250,47,125
126,481,47,126
127,545,47,127
128,383,47,128
129,557,47,129
130,122,47,130
131,318,46,131
132,593,46,132
133,196,46,133
134,428,46,134
135,76,46,135
136,543,46,136
137,420,46,137
138,165,46,138
139,527,46,139
140,248,46,140
141,477,46,141
142,522,46,142
143,555,46,143
144,60,46,144
145,567,46,145
146,509,46,146
147,48,46,147
148,492,46,148
149,467,46,149
150,387,45,150
151,418,45,151
152,58,45,152
153,368,45,153
154,106,45,154
155,516,45,155
156,423,45,156
157,565,45,157
158,135,45,158
159,572,45,159
160,570,45,160
161,50,45,161
162,475,44,162
163,487,44,163
164,86,44,164
165,589,44,165
166,21,44,166
167,385,44,167
168,514,44,168
169,541,44,169
170,343,44,170
171,220,44,171
172,561,44,172
173,447,44,173
174,281,44,174
175,398,44,175
176,172,44,176
177,130,44,177
178,30,44,178
179,32,44,179
180,212,43,180
181,508,43,181
182,373,43,182
183,534,43,183
184,342,43,184
185,158,43,185
186,307,43,186
187,558,43,187
188,140,43,188
189,232,43,189
190,506,43,190
191,540,43,191
192,156,43,192
193,499,43,193
194,189,43,194
195,264,43,195
196,142,43,196
197,532,43,197
198,301,43,198
199,376,43,199
200,9,43,200
201,258,43,201
202,580,43,202
203,169,43,203
204,323,43,204
205,108,42,205
206,468,42,206
207,462,42,207
208,316,42,208
209,466,42,209
210,523,42,210
211,164,42,211
212,296,42,212
213,419,42,213
214,422,42,214
215,41,42,215
216,149,42,216
217,283,42,217
218,120,42,218
219,328,42,219
220,188,42,220
221,197,42,221
222,519,42,222
223,341,42,223
224,388,42,224
225,203,42,225
226,194,42,226
227,365,42,227
228,93,42,228
229,351,42,229
230,472,42,230
231,455,41,231
232,491,41,232
233,159,41,233
234,456,41,234
235,479,41,235
236,571,41,236
237,427,41,237
238,254,41,238
239,575,41,239
240,181,41,240
241,75,41,241
242,190,41,242
243,325,41,243
244,299,41,244
245,152,41,245
246,489,41,246
247,259,41,247
248,393,41,248
249,372,41,249
250,502,41,250
251,96,41,251
252,339,41,252
253,588,41,253
254,311,41,254
255,137,41,255
256,349,40,256
257,409,40,257
258,371,40,258
259,413,40,259
260,488,40,260
261,294,40,261
262,454,40,262
263,408,40,263
264,424,40,264
265,495,40,265
266,1,40,266
267,485,40,267
268,146,40,268
269,229,40,269
270,162,40,270
271,111,40,271
272,102,40,272
273,104,40,273
274,55,40,274
275,263,40,275
276,98,40,276
277,31,40,277
278,99,40,278
279,154,40,279
280,3,39,280
281,476,39,281
282,363,39,282
283,397,39,283
284,63,39,284
285,251,39,285
286,4,39,286
287,68,39,287
288,249,39,288
289,74,39,289
290,515,39,290
291,186,39,291
292,43,39,292
293,168,39,293
294,119,39,294
295,230,39,295
296,222,39,296
297,29,39,297
298,206,39,298
299,183,39,299
300,329,39,300
301,195,39,301
302,182,39,302
303,110,39,303
304,414,39,304
305,207,38,305
306,347,38,306
307,129,38,307
308,566,38,308
309,590,38,309
310,24,38,310
311,214,38,311
312,136,38,312
313,549,38,313
314,433,38,314
315,362,38,315
316,89,38,316
317,202,38,317
318,435,38,318
319,517,38,319
320,278,38,320
321,145,38,321
322,57,38,322
323,338,38,323
324,177,38,324
325,38,38,325
326,88,38,326
327,171,38,327
328,51,38,328
329,471,38,329
330,313,38,330
331,59,38,331
332,46,38,332
333,391,38,333
334,537,38,334
335,305,38,335
336,56,38,336
337,118,38,337
338,576,38,338
339,148,38,339
340,78,38,340
341,105,38,341
342,544,38,342
343,478,38,343
344,551,37,344
345,564,37,345
346,241,37,346
347,18,37,347
348,592,37,348
349,353,37,349
350,292,37,350
351,160,37,351
352,498,37,352
353,36,37,353
354,231,37,354
355,15,37,355
356,240,37,356
357,144,37,357
358,457,37,358
359,185,37,359
360,505,37,360
361,121,37,361
362,53,37,362
363,52,37,363
364,406,37,364
365,213,37,365
366,134,37,366
367,28,37,367
368,441,37,368
369,256,37,369
370,211,36,370
371,501,36,371
372,380,36,372
373,113,36,373
374,531,36,374
375,166,36,375
376,395,36,376
377,117,36,377
378,421,36,378
379,319,36,379
380,459,36,380
381,280,36,381
382,320,36,382
383,226,36,383
384,138,36,384
385,107,36,385
386,87,36,386
387,429,36,387
388,16,36,388
389,143,35,389
390,95,35,390
391,533,35,391
392,497,35,392
393,463,35,393
394,79,35,394
395,529,35,395
396,430,35,396
397,157,35,397
398,271,35,398
399,300,35,399
400,261,35,400
401,180,35,401
402,179,35,402
403,132,35,403
404,436,35,404
405,452,34,405
406,139,34,406
407,83,34,407
408,355,34,408
409,439,34,409
410,26,34,410
411,150,34,411
412,366,34,412
413,434,34,413
414,94,34,414
415,357,34,415
416,8,34,416
417,133,34,417
418,432,34,418
419,446,34,419
420,65,34,420
421,524,34,421
422,273,34,422
423,302,34,423
424,151,34,424
425,553,34,425
426,70,34,426
427,47,34,427
428,218,34,428
429,125,34,429
430,444,34,430
431,6,34,431
432,483,33,432
433,298,33,433
434,536,33,434
435,356,33,435
436,237,33,436
437,101,33,437
438,227,33,438
439,116,33,439
440,225,33,440
441,128,33,441
442,124,33,442
443,123,33,443
444,490,33,444
445,217,33,445
446,511,33,446
447,378,33,447
448,37,33,448
449,295,33,449
450,530,33,450
451,396,33,451
452,410,33,452
453,277,33,453
454,473,33,454
455,337,33,455
456,69,33,456
457,77,33,457
458,253,33,458
459,73,33,459
460,518,32,460
461,221,32,461
462,315,32,462
463,525,32,463
464,109,32,464
465,326,32,465
466,401,32,466
467,293,32,467
468,236,32,468
469,82,32,469
470,268,32,470
471,470,32,471
472,25,32,472
473,469,32,473
474,450,32,474
475,400,32,475
476,350,32,476
477,127,32,477
478,45,32,478
479,412,32,479
480,381,32,480
481,359,32,481
482,443,32,482
483,404,32,483
484,62,32,484
485,215,32,485
486,402,32,486
487,153,32,487
488,257,31,488
489,290,31,489
490,255,31,490
491,360,31,491
492,474,31,492
493,550,31,493
494,369,31,494
495,201,31,495
496,370,31,496
497,382,31,497
498,246,31,498
499,358,31,499
500,97,31,500
501,175,31,501
502,465,31,502
503,61,31,503
504,235,31,504
505,234,31,505
506,453,31,506
507,103,31,507
508,209,31,508
509,192,31,509
510,344,31,510
511,451,31,511
512,155,30,512
513,384,30,513
514,274,30,514
515,392,30,515
516,282,30,516
517,348,30,517
518,379,30,518
519,170,30,519
520,335,30,520
521,336,30,521
522,35,30,522
523,334,30,523
524,141,30,524
525,126,30,525
526,198,30,526
527,403,30,527
528,327,30,528
529,19,30,529
530,17,30,530
531,445,30,531
532,331,30,532
533,11,30,533
534,504,30,534
535,291,30,535
536,262,29,536
537,54,29,537
538,269,29,538
539,407,29,539
540,131,29,540
541,2,29,541
542,411,29,542
543,417,29,543
544,308,29,544
545,346,29,545
546,375,29,546
547,482,29,547
548,496,29,548
549,90,29,549
550,512,29,550
551,80,29,551
552,67,29,552
553,321,29,553
554,193,28,554
555,297,28,555
556,345,28,556
557,210,28,557
558,367,28,558
559,12,28,559
560,245,28,560
561,389,28,561
562,267,28,562
563,44,28,563
564,324,28,564
565,437,28,565
566,442,28,566
567,461,28,567
568,10,28,568
569,223,28,569
570,205,27,570
571,233,27,571
572,314,27,572
573,272,27,573
574,364,27,574
575,374,27,575
576,399,27,576
577,23,27,577
578,361,27,578
579,528,27,579
580,49,27,580
581,33,27,581
582,22,27,582
583,416,27,583
584,27,27,584
585,66,26,585
586,174,26,586
587,276,25,587
588,270,25,588
589,20,25,589
590,7,24,590
591,13,24,591
592,279,24,592
